Div,Date,Time,HomeTeam,AwayTeam,best_over_odds,best_under_odds,market_total_line
D1,2025-11-23,17:30,St Pauli,Union Berlin,3.55,1.25,3.5
F1,2025-11-23,20:45,Lille OSC,Paris FC,1.2,4.0,1.5
F1,2025-11-23,20:45,Lille OSC,Paris FC,1.65,2.1,2.5
F1,2025-11-23,20:45,Lille OSC,Paris FC,2.6,1.45,3.5
E0,2025-11-24,21:00,Man United,Everton,1.23,3.9,1.5
E0,2025-11-24,21:00,Man United,Everton,1.23,3.9,1.5
E0,2025-11-24,21:00,Man United,Everton,1.72,2.05,2.5
E0,2025-11-24,21:00,Man United,Everton,1.72,2.05,2.5
E0,2025-11-24,21:00,Man United,Everton,2.8,1.4,3.5
E0,2025-11-24,21:00,Man United,Everton,2.8,1.4,3.5
